Wavelength	A1	C1	E1	G1	A2	C2	E2	G2	A3	E3	A4	C4	G4	A5	C5	C6	E6	A7	C7	E7	G7	C8	E8	G8	C9	G9	A10	C10	G10	E11	G11	A12	C12	E12	G12
671	3685	1181	3953	1307	3530	3232	2182	2113	620	1001	752	816	756	2618	736	625	1335	817	1656	791	601	3970	2582	1485	806	1300	1447	964	1353	3647	1894	1024	871	521	4229
672	3700	1130	3784	1312	3536	3265	2263	2137	559	962	725	847	747	2614	748	611	1317	806	1684	845	581	3673	2496	1539	747	1278	1374	973	1352	3605	1801	1000	907	553	4032
673	3547	1117	3727	1327	3523	3086	2154	2045	584	956	682	806	740	2447	707	603	1281	783	1685	801	566	3680	2453	1453	731	1303	1404	988	1339	3425	1782	957	891	546	4014
674	3606	1101	3612	1278	3374	3129	2165	1925	568	909	701	778	740	2496	706	564	1236	796	1573	793	560	3476	2456	1449	706	1222	1422	949	1297	3451	1897	951	812	532	3896
675	3376	1092	3590	1289	3405	3111	2145	1942	554	951	681	759	711	2326	684	565	1226	756	1586	711	540	3580	2370	1429	693	1211	1361	907	1290	3364	1764	944	800	520	3885
676	3290	1093	3475	1202	3231	2968	2050	1937	547	922	685	760	703	2282	722	556	1263	760	1572	767	543	3478	2349	1402	697	1244	1271	940	1234	3281	1760	887	838	522	3771
677	3327	1033	3555	1247	3199	3092	2078	1939	556	864	665	718	657	2293	674	558	1169	775	1543	711	543	3463	2280	1373	678	1163	1294	861	1239	3293	1717	883	769	485	3728
678	3212	1066	3462	1203	3160	2838	2034	1829	520	845	655	700	631	2268	649	553	1185	740	1522	683	515	3332	2197	1306	656	1167	1257	884	1245	3212	1721	873	739	498	3671
679	3148	1010	3426	1165	3091	2823	2007	1934	557	822	633	710	651	2219	661	514	1183	729	1519	678	526	3286	2183	1295	660	1188	1236	891	1221	3087	1711	854	787	473	3609
680	3240	991	3333	1156	3094	2826	1938	1826	523	869	586	708	615	2252	652	527	1101	719	1518	690	515	3240	2085	1297	644	1156	1248	874	1212	3062	1625	851	705	478	3530
681	3044	961	3284	1163	2977	2768	1929	1799	503	850	604	682	640	2228	630	508	1107	695	1441	658	485	3279	2105	1326	657	1118	1192	879	1172	3061	1606	785	733	453	3491
682	3071	967	3134	1137	2993	2637	1857	1766	480	793	606	633	623	2182	672	485	1147	676	1490	672	473	3238	2107	1253	597	1099	1171	858	1162	2966	1587	839	699	471	3317
683	3042	971	3122	1121	2901	2656	1857	1749	469	785	566	636	584	2158	651	487	1117	668	1405	671	494	3109	1966	1250	600	1090	1188	823	1094	3012	1606	797	685	461	3311
684	2901	943	3116	1084	3017	2596	1837	1673	466	743	589	611	586	2174	612	492	1113	658	1347	646	487	3140	1979	1200	577	1036	1156	804	1149	2925	1555	782	714	431	3287
685	2932	938	2979	1042	2813	2650	1830	1664	487	756	567	611	581	2072	628	494	1056	623	1346	651	508	2937	1978	1178	591	1026	1130	762	1102	2852	1516	755	666	407	3222
686	2898	925	2949	1085	2729	2568	1754	1718	455	740	568	631	570	1965	540	478	1104	622	1296	627	479	2981	1992	1187	603	992	1136	768	1063	2855	1478	754	664	382	3350
687	2855	884	2996	1117	2768	2499	1723	1600	452	727	560	596	551	1958	579	450	1029	633	1421	601	477	2912	1970	1163	582	992	1124	755	1060	2762	1437	727	667	404	3150
688	2799	895	2907	1055	2726	2352	1755	1600	416	712	530	608	564	2036	571	428	1015	635	1311	604	479	2921	1819	1104	551	986	1069	757	1007	2731	1460	705	663	400	3157
689	2683	914	2876	999	2671	2465	1674	1632	458	756	518	574	553	1923	545	450	985	591	1271	626	467	2881	1891	1123	543	1013	1072	723	1091	2704	1421	736	650	379	3037
690	2563	902	2821	975	2557	2415	1654	1592	421	722	503	555	525	1887	567	473	1017	604	1284	573	432	2868	1798	1085	515	956	1044	718	985	2647	1365	724	576	355	3039
691	2736	859	2709	971	2555	2366	1611	1571	426	699	506	575	517	1873	524	419	969	589	1259	575	438	2712	1753	1052	525	948	1001	706	1036	2587	1381	695	621	366	2954
692	2617	842	2770	970	2502	2375	1616	1530	410	663	498	541	538	1752	508	435	939	559	1193	561	425	2685	1764	1078	524	961	957	662	1015	2568	1319	662	642	380	2931
693	2526	813	2673	911	2417	2307	1562	1502	411	652	477	533	507	1797	543	379	948	541	1165	552	408	2625	1622	997	498	904	978	663	969	2528	1308	689	589	346	2863
694	2480	781	2701	961	2452	2220	1550	1466	427	662	477	501	496	1787	544	395	899	531	1077	539	394	2590	1695	979	458	877	960	650	936	2460	1332	631	599	353	2746
695	2434	830	2603	853	2377	2116	1505	1426	386	609	445	508	484	1683	515	404	851	539	1179	543	387	2514	1669	985	458	908	926	657	919	2412	1306	629	561	352	2667
696	2429	777	2424	923	2245	2143	1459	1360	391	631	434	523	452	1654	499	393	853	504	1053	494	380	2485	1615	1002	473	900	913	640	884	2330	1229	649	540	371	2700
697	2286	763	2446	884	2294	2137	1460	1384	367	588	465	482	453	1696	484	387	868	550	1120	501	378	2463	1574	942	446	845	872	631	889	2271	1307	603	528	339	2706
698	2318	785	2428	892	2158	2018	1427	1357	352	604	442	477	466	1580	465	345	843	479	1072	496	376	2376	1549	956	462	805	908	618	860	2263	1207	597	502	324	2558
699	2198	721	2384	886	2168	1991	1406	1390	347	575	427	451	433	1570	464	370	790	470	1049	481	365	2348	1478	900	423	815	817	587	854	2206	1175	572	540	316	2497
700	2170	753	2282	819	2164	1994	1398	1328	318	558	405	427	409	1548	449	366	763	486	973	490	357	2224	1503	900	430	810	878	578	868	2106	1201	574	501	321	2454
701	2171	738	2322	801	2110	1855	1356	1261	302	543	395	436	416	1570	444	359	766	446	965	423	352	2289	1398	830	441	767	828	578	866	2186	1133	541	483	305	2429
702	2154	705	2238	804	2041	1851	1267	1211	351	544	390	454	419	1493	438	330	794	444	1025	470	326	2263	1424	869	378	832	807	602	785	2049	1126	552	487	280	2317
703	2011	700	2209	802	2110	1855	1299	1185	301	554	391	408	407	1404	439	296	728	428	934	459	348	2233	1395	788	411	791	784	563	791	2117	1139	540	496	265	2325
704	2014	683	2127	754	1953	1777	1303	1214	340	523	408	424	415	1449	404	331	766	438	971	424	310	2063	1358	809	401	780	764	515	807	2014	1057	536	469	268	2345
705	2040	687	2121	780	1997	1791	1213	1188	292	537	376	409	382	1438	390	325	734	425	941	397	322	2086	1386	814	384	722	742	535	763	1901	1090	531	468	266	2233
706	1916	676	2031	755	1982	1754	1183	1144	310	485	374	402	396	1441	397	321	714	407	985	409	320	2056	1304	770	362	703	730	497	734	1924	1064	471	442	281	2180
707	1976	650	2039	746	1920	1736	1160	1155	287	465	330	414	366	1353	410	301	738	407	946	397	325	1954	1322	765	350	671	741	478	727	1960	980	460	437	263	2150
708	2032	670	2002	745	1862	1688	1220	1158	319	507	363	413	390	1368	431	316	731	367	815	380	344	1995	1312	724	347	692	704	510	732	1881	1003	507	422	231	2123
709	1875	666	1982	700	1799	1689	1174	1111	294	471	350	374	391	1305	396	284	731	402	879	406	304	1979	1228	739	354	691	706	524	718	1860	994	458	383	247	2061
710	1784	642	2041	700	1822	1660	1177	1031	289	470	368	367	372	1277	384	293	685	399	921	380	274	1892	1207	693	344	686	691	511	697	1724	918	458	394	232	2040
711	1860	675	1996	705	1789	1626	1118	1057	293	487	326	368	365	1376	375	290	669	423	821	424	309	1870	1193	723	353	668	659	489	678	1740	944	451	392	251	2039
712	1761	628	1924	724	1805	1625	1139	1102	265	453	362	386	307	1298	381	276	636	381	811	354	290	1875	1176	662	325	598	673	476	689	1756	952	445	384	212	2026
713	1770	663	1840	672	1717	1570	1113	1071	272	467	344	336	335	1283	366	282	672	400	827	378	282	1853	1181	648	306	629	668	463	737	1741	998	449	416	217	1945
714	1798	621	1841	599	1762	1536	1111	1063	290	442	335	338	325	1281	347	282	654	380	808	367	285	1782	1124	701	319	661	645	450	702	1735	947	436	374	226	1944
715	1785	625	1940	650	1725	1525	1108	959	247	460	335	357	331	1226	358	284	631	354	794	381	309	1803	1162	725	314	618	646	427	688	1687	942	439	359	205	1986
716	1659	580	1880	616	1672	1508	1052	1007	263	444	313	350	317	1224	337	286	632	373	809	348	284	1780	1115	621	305	636	634	471	667	1731	859	444	371	225	1897
717	1673	591	1806	645	1664	1528	1072	949	251	474	303	336	300	1213	335	236	630	353	857	352	266	1720	1162	632	322	623	636	408	685	1675	860	436	370	209	1851
718	1678	611	1742	635	1611	1446	1003	992	236	445	282	350	299	1182	330	261	575	346	783	340	268	1751	1125	638	284	597	601	412	669	1632	925	406	360	205	1926
719	1647	603	1721	617	1657	1440	1037	982	230	395	291	310	317	1199	345	255	618	332	734	362	261	1692	1101	626	297	556	596	426	660	1653	866	417	351	195	1843
720	1625	580	1747	596	1608	1389	994	963	235	431	318	332	311	1236	309	258	583	330	730	331	266	1660	1077	632	282	648	601	415	611	1566	865	396	339	220	1762
